,0
666,AUM5.DU
667,AUM5.MU
668,AUUSI.SW
669,AVDE
670,AVDR
671,AVDV
672,AVMU
673,AVSF
674,AVUS
675,AVUV
676,AW44.BE
677,AW45.BE
678,AW45.DU
679,AW45.F
680,AW45.HM
681,AW47.BE
682,AW47.DU
683,AW47.F
684,AW47.HM
685,AW47.MU
686,AW48.BE
687,AW48.DU
688,AW48.HM
689,AW4B.BE
690,AW4B.MU
691,AW4C.BE
692,AW4C.DU
693,AW4C.HM
694,AW4C.MU
695,AW4D.BE
696,AW4D.DU
697,AW4D.HM
698,AW4D.MU
699,AW4H.BE
700,AW4H.DU
701,AW4H.HM
702,AW4H.MU
703,AW4I.DU
704,AW4I.MU
705,AW4K.DU
706,AW4K.HM
707,AW4N.DU
708,AWAT.PA
709,AWAY
710,AWESGE.SW
711,AWESGG.SW
712,AWESGJ.SW
713,AWESGS.SW
714,AWESGT.SW
715,AWSR.L
716,AWSRIA.MI
717,AWSRIA.SW
718,AWTM
719,AXBC.F
720,AXBF.F
721,AXFI.MI
722,AXFI.PA
723,AXK2.BE
724,AXK2.DU
725,AXK2.F
726,AXK2.HM
727,AXK4.BE
728,AXK4.DU
729,AXK4.F
730,AXK6.F
731,AXK6.HM
732,AXK7.F
733,AXKA.F
734,AXKD.HM
735,AXKG.DU
736,AXRP.SW
737,AXTZ.SW
738,AYE0.BE
739,AYEM.DE
740,AYEM.F
741,AYEP.DE
742,AYEW.DE
743,AYV1.BE
744,AYV1.F
745,AZAA
746,AZAJ
747,AZAL
748,AZAO
749,AZBA
750,AZBJ
751,AZBL
752,AZBO
753,AZHA.BE
754,AZHA.DU
755,AZHA.MU
756,AZHN.BE
757,AZHN.DU
758,AZHN.F
759,AZHP.F
760,AZHQ.F
761,AZHS.F
762,AZHT.F
763,B3F0.F
764,B3F2.BE
765,B3F2.DU
766,B3F2.MU
767,B3F3.BE
768,B3F3.DU
769,B3F3.F
770,B3F3.MU
771,B3F4.BE
772,B3F4.DU
773,B3F4.MU
774,B3F7.BE
775,B3F7.HM
776,B3FC.BE
777,B3FG.BE
778,B3FG.MU
779,B3FL.BE
780,B852.MU
781,B92D.BE
782,B92H.MU
783,BAB
784,BAL
785,BAPR
786,BAR
787,BASE-B.TO
788,BATT
789,BAUG
790,BBAX
791,BBC
792,BBCA
793,BBEG.L
794,BBEP.MU
795,BBEU
796,BBEU.BE
797,BBGE.L
798,BBH
799,BBIN
800,BBJP
801,BBMC
802,BBP
803,BBRE
804,BBSA
805,BBSC
806,BBUS
807,BBUS.DU
808,BBUS.MU
809,BCD
810,BCFE.DE
811,BCFE.DU
812,BCFE.F
813,BCFU.DE
814,BCHE.SW
815,BCHN.L
816,BCHN.MI
817,BCHS.L
818,BCI
819,BCM
820,BDCY
821,BDCZ
822,BDEC
823,BDIV.TO
824,BDRY
825,BE30.HM
826,BEAR-MOWI-X3-ND1.OL
827,BEAR.AX
828,BER3.BE
829,BERMIB.MI
830,BFEB
831,BFIT
832,BFOR
833,BFTR
834,BGRN
835,BGU
836,BGU-U.TO
837,BGU.TO
838,BGX.DE
839,BGX.F
840,BHFAL
841,BIB
842,BIBL
843,BICK
844,BIL
845,BIS
846,BITC-EUR.SW
847,BITC-USD.SW
848,BIV
849,BIZD
850,BJAN
851,BJK
852,BJLE.BE
853,BJLE.DE
854,BJLE.DU
855,BJLE.F
856,BJLE.MU
857,BJUL
858,BJUN
859,BK0J.BE
860,BK0K.BE
861,BKF
862,BKHY
863,BKISF
864,BKKCF
865,BKLN
866,BKMC
867,BKSB
868,BKSE
869,BL-UN.TO
870,BLCK.TO
871,BLCN
872,BLES
873,BLHY
874,BLUE.PA
875,BLUM.BE
876,BLUM.DU
877,BLUM.HM
878,BLUM.MU
879,BLV
880,BLV.MX
881,BMAR
882,BMAY
883,BMED
884,BMLP
885,BNC.TO
886,BND
887,BNDC
888,BNDW
889,BNDX
890,BNE
891,BNKD
892,BNKO
893,BNKU
894,BNKZ
895,BNO
896,BNOV
897,BNPC
898,BNXG.BE
899,BNXG.DE
900,BNXG.DU
901,BNXG.F
902,BNXG.HM
903,BNXG.MU
904,BNXH.BE
905,BNZ
906,BOB
907,BOCT
908,BOIL
909,BOND
910,BOSS
911,BOTZ
912,BOUT
913,BRF
914,BRND.MI
915,BRNT.L
916,BRZU
917,BS91.HM
918,BSAE
919,BSBE
920,BSCK
921,BSCL
922,BSCM
923,BSCN
924,BSCO
925,BSCP
926,BSCR
927,BSCT
928,BSDE
929,BSEP
930,BSJK
931,BSJL
932,BSJM
933,BSJN
934,BSJO
935,BSJP
936,BSJQ
937,BSJR
938,BSML
939,BSMN
940,BSMP
941,BSMS
942,BSMT
943,BSUS.L
944,BSV
945,BSX.PA
946,BT2B.BE
947,BT2C.DU
948,BT2C.F
949,BT2C.HM
950,BT2C.MU
951,BTAH
952,BTAL
953,BTEC
954,BTEK
955,BTP10.MI
956,BTP2S.MI
957,BTPS.PA
958,BTYS
959,BUG
960,BUL
961,BULL-GULL-X12-ND.OL
962,BULL-GULL-X3-ND1.OL
963,BULL-REC-X2-ND.OL
964,BULL-SP500X5-ND1.OL
965,BULL-STB-X3-ND.OL
966,BUOY.L
967,BUOY.SW
968,BWX
969,BWZ
970,BXF.TO
971,BXX.MI
972,BXX.PA
973,BYBE.PA
974,BYBG.L
975,BYBU.L
976,BYBU.PA
977,BYI.SI
978,BYIA.BE
979,BYJ.SI
980,BYLD
981,BYQ5.HM
